taskCount;responseTime;userName
0;359;deputy
38;301;parkes
33;1102;harmon
36;312;gabelle
35;328;amy
35;338;bounderby
35;341;bazzard
7;128;amy
7;135;gabelle
0;143;pidger
8;37;bunsby
77;215;wickham
77;284;alphonse
1;420;bazzard
1;348;admin
1;327;deputy
77;246;alphonse
78;213;wickham
78;205;morfin
78;229;sampson
1;353;bounderby
35;352;bet
35;292;jeremiah
35;296;bazzard
0;1020;gaspard
0;253;harmon
1;320;bet
1;276;gabelle
1;341;mogley
1;338;parkes
1;304;artful
0;264;mogley
1;88;parkes
1;97;mogley
1;82;bet
1;118;david
1;114;crimp
0;73;admin
34;324;pidger
34;367;harmon
35;231;chivery
35;280;admin
35;321;mogley
35;296;wickham
35;302;jeremiah
33;292;jaggers
33;307;admin
1;330;crimp
1;283;traddles
0;60;alphonse
0;328;admin
1;260;alphonse
78;215;sampson
1;206;alphonse
1;221;barley
1;4996;wickham
78;311;chivery
1;298;deputy
1;275;gabelle
1;370;pidger
1;425;rosa
1;292;crimp
2;314;gabelle
2;312;kitty
2;348;peerybingle
79;274;bounderby
33;320;sally
33;324;lightwood
33;489;jaggers
33;538;gaspard
21;234;barley
79;214;chivery
79;477;parkes
79;429;deputy
33;491;traddles
33;507;morfin
33;558;pidger
33;377;peerybingle
1;239;wickham
33;428;amy
1;405;wickham
33;507;sally
34;495;cavalletto
0;290;bunsby
2;334;morfin
0;352;jaggers
1;397;rosa
2;273;david
1;420;parkes
1;283;wickham
1;315;chivery
36;301;admin
36;507;wickham
35;301;mogley
35;284;petowker
2;488;jaggers
1;277;traddles
0;73;lightwood
0;1415;wickham
1;33;amy
1;53;pidger
1;150;deputy
1;90;mogley
1;109;guster
1;284;morfin
4;217;rosa
8;148;sally
6;175;wickham
19;359;sampson
65;249;gabelle
3;115;jaggers
65;203;gabelle
66;226;chivery
65;258;guster
65;694;pidger
65;273;morfin
66;378;deputy
66;217;lightwood
66;233;david
65;272;jeremiah
61;236;sally
61;258;alphonse
36;703;deputy
4;220;wickham
4;367;crimp
36;320;lightwood
36;348;sampson
61;243;cavalletto
35;322;wickham
35;162;cavalletto
35;286;chivery
36;110;harmon
35;1257;barley
2;1521;kitty
0;257;kitty
1;383;jeremiah
0;452;parkes
1;827;gabelle
0;448;morfin
1;267;david
1;287;jeremiah
16;259;cavalletto
16;242;wickham
16;264;rosa
0;74;cavalletto
1;270;sampson
1;82;jeremiah
0;274;sampson
0;273;peerybingle
39;306;bet
39;313;peerybingle
38;338;mogley
38;229;bet
37;296;peerybingle
61;730;barley
61;89;lightwood
61;257;pidger
61;414;alphonse
61;66;gabelle
2;563;cavalletto
60;197;gabelle
60;224;cavalletto
60;181;bounderby
60;222;crimp
60;233;guster
37;325;gabelle
38;336;rosa
0;289;harmon
0;115;amy
1;303;jeremiah
1;302;chivery
4;278;jeremiah
31;357;traddles
31;393;traddles
60;180;cavalletto
35;315;traddles
35;462;barley
35;509;bet
35;321;artful
35;489;admin
38;436;bounderby
39;532;rosa
0;430;chivery
1;359;sampson
1;349;david
1;111;deputy
1;292;sally
0;343;sampson
16;247;gabelle
16;230;rosa
16;1645;crimp
60;189;mogley
38;306;mogley
1;294;jaggers
39;1153;morfin
16;243;gabelle
16;216;harmon
16;215;admin
31;353;petowker
10;220;jaggers
10;233;sally
8;358;rosa
39;544;jaggers
60;233;jeremiah
